"age","gender","race","income","education","stratum","strata_n","m1Am","m1Bmfit","m1Bmupr","m1Bmlwr","m2Bmfit","m2Bmupr","m2Bmlwr","m2BmfitL","m2BmuprL","m2BmlwrL","m2BmF","mean_bmi","mean_obesity","rank"
"young","male","white","ilow","elow","youngmalewhiteilowelow",392,25.4153152100421,25.359555098106,25.9533698185857,24.8617032708958,0.146046502755746,0.180192779583239,0.115963669833289,-1.77472588659802,-1.50882558236296,-2.03469143789783,-1.6355527525484,25.2984407785846,13.7755102040816,9
"young","male","white","ilow","emid","youngmalewhiteilowemid",533,25.5734230872802,25.5222896347155,26.0443438297693,25.0531231966132,0.147331070338898,0.178790337910939,0.117430406611146,-1.75954737867076,-1.53901796484489,-2.00169527885003,-1.66916813539756,25.4972353243276,14.2589118198874,12
"young","male","white","ilow","ehigh","youngmalewhiteilowehigh",117,25.4694537272304,25.2831159038245,26.0806085080365,24.4733245812379,0.137909026135144,0.187341419349552,0.102867028536747,-1.83667093383319,-1.48782073438852,-2.16549805950149,-1.78210545983693,25.0931124891709,12.8205128205128,7
"young","male","white","imid","elow","youngmalewhiteimidelow",220,26.3775356288219,26.2458831958662,26.8888452408191,25.6116860909684,0.184410341844993,0.232604314637544,0.144614002427224,-1.48750517433471,-1.19711672023239,-1.79001486494126,-1.54625445681614,26.3133192720867,19.0909090909091,36
"young","male","white","imid","emid","youngmalewhiteimidemid",660,26.2792699770758,26.2312856479299,26.7125163802159,25.7442229109586,0.178657269250896,0.212511176826271,0.150137189568773,-1.52901678868465,-1.3103999122096,-1.73964138037041,-1.5798698396653,26.2529614693539,18.1818181818182,35
"young","male","white","imid","ehigh","youngmalewhiteimidehigh",259,26.7744311273605,26.6103494980623,27.255093854027,25.9817371863746,0.17820277525138,0.223208661391883,0.140139995891867,-1.53299103264741,-1.2499533912913,-1.82473557929906,-1.69280716410467,26.7703488498134,19.3050193050193,68
"young","male","white","ihigh","elow","youngmalewhiteihighelow",92,26.6580547917252,26.3998368957659,27.1628038283542,25.5453511610006,0.167571945849202,0.224492050476596,0.122677639104803,-1.60592529285803,-1.25872136343802,-1.95345211182395,-1.5863599627057,26.604905497812,16.304347826087,49
"young","male","white","ihigh","emid","youngmalewhiteihighemid",509,26.0425326533037,26.0053201775605,26.5328558163844,25.443590749559,0.173090798651105,0.210894369716427,0.142953509192844,-1.5524383238122,-1.32645622271421,-1.79727425258241,-1.61997534555486,25.9931030163044,17.6817288801572,29
"young","male","white","ihigh","ehigh","youngmalewhiteihighehigh",994,26.4117387670863,26.3789241435894,26.8099561874293,25.9479158361806,0.15446431246138,0.180781769241608,0.129210465510368,-1.70205639185797,-1.51298521874581,-1.90424401943014,-1.73291266999423,26.3986590444089,15.4929577464789,45
"young","male","black","ilow","elow","youngmaleblackilowelow",215,26.2496555789498,26.1199885797083,26.8000949081269,25.4613672132966,0.194375458784894,0.243082509522205,0.155857619731159,-1.40987130481282,-1.12916188890791,-1.70564482883133,-1.50974549127796,26.1643585742348,20.4651162790698,31
